mean_test_score,std_test_score,rank_test_score,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree
0.9059977546059492,0.006039700323319998,1,0.8,1.5,0.5,100,7,0.1,0.0,0.8
0.9057568814366317,0.005000219282908615,2,0.6,1.0,0.1,200,5,0.1,0.3,0.8
0.9054558760852844,0.0042494821546170645,3,0.6,1.5,0.5,100,5,0.2,0.1,0.6
0.9050344432135203,0.005383004364115093,4,0.6,1.0,0.5,300,5,0.1,0.3,0.6
0.9045526424894325,0.005560811454423479,5,1.0,1.0,0.0,200,7,0.2,0.1,0.6
0.9044319430417531,0.006617840456489769,6,0.6,0.5,0.5,200,3,0.2,0.0,1.0
0.9043116424207256,0.006873503778151506,7,0.8,1.0,0.1,100,7,0.1,0.1,0.6
0.9039503417309911,0.0051072168262049624,8,0.8,1.5,0.5,100,5,0.1,0.0,1.0
0.9034084088248736,0.00439826384646317,9,0.6,1.5,0.5,100,5,0.1,0.0,0.6
0.9032879631759727,0.0057145814172510365,10,1.0,0.5,0.1,200,7,0.1,0.3,0.8
0.9025655430813455,0.0045044678329092865,11,0.8,0.5,0.5,200,7,0.2,0.1,0.8
0.9023848202225416,0.004891133282910687,12,0.8,1.5,0.1,300,7,0.2,0.1,0.6
0.9008190449153137,0.004393555950758102,13,0.6,1.0,0.0,300,7,0.01,0.0,0.8
0.9001564850754533,0.004542959667417833,14,1.0,1.5,0.1,200,7,0.2,0.1,1.0
0.9000361300689734,0.006094133244784188,15,0.8,1.0,0.0,300,10,0.01,0.1,1.0
0.8994337749250796,0.005246249133253402,16,0.6,1.0,0.1,300,7,0.01,0.3,1.0
0.8979887715794677,0.0047605212080657966,17,1.0,1.0,0.0,100,10,0.1,0.1,1.0
0.8971455251377719,0.0058234903359731275,18,1.0,0.5,0.0,200,10,0.1,0.3,1.0
0.8320486401733372,0.006201914126128305,19,1.0,0.5,0.1,200,3,0.01,0.0,1.0
0.8247624398111665,0.0066051774577962855,20,1.0,0.5,0.1,100,3,0.01,0.1,0.6
