mean_test_score,std_test_score,rank_test_score,param_classifier__subsample,param_classifier__reg_lambda,param_classifier__reg_alpha,param_classifier__n_estimators,param_classifier__max_depth,param_classifier__learning_rate,param_classifier__gamma,param_classifier__colsample_bytree
0.9059977002204969,0.004454309139751686,1,1.0,1.5,0.1,300,3,0.1,0.1,0.6
0.9036491913517704,0.005755858342274445,2,1.0,0.5,0.0,200,5,0.1,0.3,0.8
0.9035289269877114,0.004765424900588001,3,1.0,1.5,0.1,200,10,0.1,0.1,0.6
0.903528908859227,0.005814708435088572,4,0.8,0.5,0.1,300,5,0.1,0.1,0.8
0.9028665846896612,0.005655070742163013,5,0.6,1.0,0.0,100,10,0.1,0.1,0.6
0.90262556649247,0.005210389139468549,6,0.8,1.5,0.0,200,5,0.2,0.3,1.0
0.9022639576185046,0.0054801265134858,7,1.0,1.0,0.1,100,3,0.2,0.1,1.0
0.9022042242631269,0.00356421082654765,8,0.6,0.5,0.5,200,10,0.1,0.0,0.8
0.9018428329309716,0.005618187046248,9,0.8,1.5,0.0,100,10,0.1,0.3,1.0
0.9003374436045517,0.005927484083568804,10,0.8,0.5,0.0,300,5,0.2,0.1,0.6
0.8995544381157906,0.006674306300459252,11,1.0,1.5,0.0,200,10,0.01,0.3,0.8
0.8970250432319027,0.004794092278200511,12,1.0,1.5,0.0,200,7,0.01,0.0,0.8
0.8964828927839751,0.00548675072320104,13,1.0,0.5,0.0,300,7,0.01,0.0,1.0
0.8834158813860531,0.006588112825713544,14,0.8,1.0,0.0,200,5,0.01,0.0,0.6
0.8752260304728943,0.007279539721629226,15,0.6,1.5,0.5,100,5,0.01,0.3,0.6
0.8466821338893702,0.006134336057176324,16,0.8,1.5,0.1,300,3,0.01,0.3,0.8
0.8351198954494059,0.006999972914186776,17,0.8,0.5,0.0,200,3,0.01,0.3,1.0
0.8346983356782527,0.0073478738464224395,18,0.8,1.0,0.1,200,3,0.01,0.3,1.0
0.8279542857640096,0.008193974249022556,19,0.6,1.0,0.5,100,3,0.01,0.3,0.8
0.8200049998359372,0.013220997121975376,20,0.8,1.5,0.5,100,3,0.01,0.0,1.0
